index,Class 1/2/3,Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates
86,2,12.16,1.61,2.31,22.8,90,1.78,1.69,0.43,1.56,2.45,1.33,2.26,495,8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95
87,2,11.65,1.67,2.62,26.0,88,1.92,1.61,0.4,1.34,2.6,1.36,3.21,562,7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64
88,2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680,9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22
89,2,12.08,1.33,2.3,23.6,70,2.2,1.59,0.42,1.38,1.74,1.07,3.21,625,7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53
90,2,12.08,1.83,2.32,18.5,81,1.6,1.5,0.52,1.64,2.4,1.08,2.27,480,7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54
91,2,12.0,1.51,2.42,22.0,86,1.45,1.25,0.5,1.63,3.6,1.05,2.65,450,8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95
92,2,12.69,1.53,2.26,20.7,80,1.38,1.46,0.58,1.62,3.05,0.96,2.06,495,8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98
93,2,12.29,2.83,2.22,18.0,88,2.45,2.25,0.25,1.99,2.15,1.15,3.3,290,7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64
94,2,11.62,1.99,2.28,18.0,98,3.02,2.26,0.17,1.35,3.25,1.16,2.96,345,5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48
95,2,12.47,1.52,2.2,19.0,162,2.5,2.27,0.32,3.28,2.6,1.16,2.63,937,4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6
96,2,11.81,2.12,2.74,21.5,134,1.6,0.99,0.14,1.56,2.5,0.95,2.26,625,6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56
97,2,12.29,1.41,1.98,16.0,85,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428,7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63
98,2,12.37,1.07,2.1,18.5,88,3.52,3.75,0.24,1.95,4.5,1.04,2.77,660,7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56
99,2,12.29,3.17,2.21,18.0,88,2.85,2.99,0.45,2.81,2.3,1.42,2.83,406,8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59
100,2,12.08,2.08,1.7,17.5,97,2.23,2.17,0.26,1.4,3.3,1.27,2.96,710,8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61
101,2,12.6,1.34,1.9,18.5,88,1.45,1.36,0.29,1.35,2.45,1.04,2.77,562,7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56
102,2,12.34,2.45,2.46,21.0,98,2.56,2.11,0.34,1.31,2.8,0.8,3.38,438,8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59
103,2,11.82,1.72,1.88,19.5,86,2.5,1.64,0.37,1.42,2.06,0.94,2.44,415,8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51
104,2,12.51,1.73,1.98,20.5,85,2.2,1.92,0.32,1.48,2.94,1.04,3.57,672,7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48
105,2,12.42,2.55,2.27,22.0,90,1.68,1.84,0.66,1.42,2.7,0.86,3.3,315,8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51
106,2,12.25,1.73,2.12,19.0,80,1.65,2.03,0.37,1.63,3.4,1.0,3.17,510,7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31
107,2,12.72,1.75,2.28,22.5,84,1.38,1.76,0.48,1.63,3.3,0.88,2.42,488,6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79
108,2,12.22,1.29,1.94,19.0,92,2.36,2.04,0.39,2.08,2.7,0.86,3.02,312,8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8
109,2,11.61,1.35,2.7,20.0,94,2.74,2.92,0.29,2.49,2.65,0.96,3.26,680,8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69
110,2,11.46,3.74,1.82,19.5,107,3.18,2.58,0.24,3.58,2.9,0.75,2.81,562,7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93
111,2,12.52,2.43,2.17,21.0,88,2.55,2.27,0.26,1.22,2.0,0.9,2.78,325,8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66
112,2,11.76,2.68,2.92,20.0,103,1.75,2.03,0.6,1.05,3.8,1.23,2.5,607,8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66
113,2,11.41,0.74,2.5,21.0,88,2.48,2.01,0.42,1.44,3.08,1.1,2.31,434,10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67
114,2,12.08,1.39,2.5,22.5,84,2.56,2.29,0.43,1.04,2.9,0.93,3.19,385,7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93
115,2,11.03,1.51,2.2,21.5,85,2.46,2.17,0.52,2.01,1.9,1.71,2.87,407,9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63
116,2,11.82,1.47,1.99,20.8,86,1.98,1.6,0.3,1.53,1.95,0.95,3.33,495,8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61
117,2,12.42,1.61,2.19,22.5,108,2.0,2.09,0.34,1.61,2.06,1.06,2.96,345,7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5
118,2,12.77,3.43,1.98,16.0,80,1.63,1.25,0.43,0.83,3.4,0.7,2.12,372,8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6
119,2,12.0,3.43,2.0,19.0,87,2.0,1.64,0.37,1.87,1.28,0.93,3.05,564,7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54
120,2,11.45,2.4,2.42,20.0,96,2.9,2.79,0.32,1.83,3.25,0.8,3.39,625,7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57
121,2,11.56,2.05,3.23,28.5,119,3.18,5.08,0.47,1.87,6.0,0.93,3.69,465,8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6
122,2,12.42,4.43,2.73,26.5,102,2.2,2.13,0.43,1.71,2.08,0.92,3.12,365,7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52
123,2,13.05,5.8,2.13,21.5,86,2.62,2.65,0.3,2.01,2.6,0.73,3.1,380,8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53
124,2,11.87,4.31,2.39,21.0,82,2.86,3.03,0.21,2.91,2.8,0.75,3.64,380,7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48
125,2,12.07,2.16,2.17,21.0,85,2.6,2.65,0.37,1.35,2.76,0.86,3.28,378,9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7
126,2,12.43,1.53,2.29,21.5,86,2.74,3.15,0.39,1.77,3.94,0.69,2.84,352,8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49
127,2,11.79,2.13,2.78,28.5,92,2.13,2.24,0.58,1.76,3.0,0.97,2.44,466,8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48
128,2,12.37,1.63,2.3,24.5,88,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342,8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92
129,2,12.04,4.3,2.38,22.0,80,2.1,1.75,0.42,1.35,2.6,0.79,2.57,580,6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57
130,3,12.86,1.35,2.32,18.0,122,1.51,1.25,0.21,0.94,4.1,0.76,1.29,630,8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66
131,3,12.88,2.99,2.4,20.0,104,1.3,1.22,0.24,0.83,5.4,0.74,1.42,530,5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63
132,3,12.81,2.31,2.4,24.0,98,1.15,1.09,0.27,0.83,5.7,0.66,1.36,560,5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63
133,3,12.7,3.55,2.36,21.5,106,1.7,1.2,0.17,0.84,5.0,0.78,1.29,600,6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58
134,3,12.51,1.24,2.25,17.5,85,2.0,0.58,0.6,1.25,5.45,0.75,1.51,650,7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55
135,3,12.6,2.46,2.2,18.5,94,1.62,0.66,0.63,0.94,7.1,0.73,1.58,695,8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82
136,3,12.25,4.72,2.54,21.0,89,1.38,0.47,0.53,0.8,3.85,0.75,1.27,720,8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77
137,3,12.53,5.51,2.64,25.0,96,1.79,0.6,0.63,1.1,5.0,0.82,1.69,515,7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64
138,3,13.49,3.59,2.19,19.5,88,1.62,0.48,0.58,0.88,5.7,0.81,1.82,580,7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54
139,3,12.84,2.96,2.61,24.0,101,2.32,0.6,0.53,0.81,4.92,0.89,2.15,590,7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54
140,3,12.93,2.81,2.7,21.0,96,1.54,0.5,0.53,0.75,4.6,0.77,2.31,600,8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82
141,3,13.36,2.56,2.35,20.0,89,1.4,0.5,0.37,0.64,5.6,0.7,2.47,780,8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77
142,3,13.52,3.17,2.72,23.5,97,1.55,0.52,0.5,0.55,4.35,0.89,2.06,520,5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79
143,3,13.62,4.95,2.35,20.0,92,2.0,0.8,0.47,1.02,4.4,0.91,2.05,550,6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58
144,3,12.25,3.88,2.2,18.5,112,1.38,0.78,0.29,1.14,8.21,0.65,2.0,855,5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79
145,3,13.16,3.57,2.15,21.0,102,1.5,0.55,0.43,1.3,4.0,0.6,1.68,830,8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62
