index,Cuartos,Baños,GARAGE,Area,Construido,Año,Dis_Cento,Dis_Escuela,LATITUDE,LONGITUDE,Precio,Direccion,Ult_venta
64,4,1,4.0,380,114,1998.0,9500,0.2653986305726844,-32.00205721,115.941062,387000,1 Bull Place,"09-2018"
65,3,2,2.0,233,111,2014.0,31900,0.9586860908608232,-32.23409592,115.8058854,330000,1 Bynder Lane,"07-2015"
66,2,1,,2578,180,1977.0,18200,1.1428021247311355,-31.98705,116.04769,605000,1 Cabarita Road,"08-2020"
67,3,2,2.0,350,156,2016.0,35200,14.257082473865491,-31.65843642,116.0411802,380000,1 Cadiz Way,"06-2016"
68,2,1,2.0,828,117,1965.0,17800,2.488743831488223,-31.90963,116.04061,85000,1 Caladenia Way,"10-1998"
69,3,2,2.0,603,128,1992.0,34500,0.8727779765182248,-31.66719,115.71465,345000,1 Cam Court,"06-2017"
70,4,2,2.0,619,180,2008.0,24100,2.757298788389314,-32.16854691,115.86785,528000,1 Camden Boulevard,"03-2018"
71,4,1,5.0,802,266,2012.0,12000,1.1339156167704767,-31.87098262,115.7759589,1350000,1 Cameron Street,"03-2018"
72,4,2,2.0,1940,223,1982.0,18700,2.9641504305521567,-31.95124,116.05696,735000,1 Camira Place,"07-2015"
73,4,2,2.0,529,176,2005.0,15400,0.9080791199887812,-31.81372,115.85078,442500,1 Camrose Lane,"11-2019"
74,3,2,2.0,500,312,2003.0,18600,1.1773460302620864,-31.81745,115.74223,1015000,1 Canarias Way,"08-2018"
75,3,2,4.0,771,200,1985.0,13500,2.340057578272209,-31.83138,115.87381,530000,1 Cannon Court,"05-2016"
76,3,1,2.0,688,90,1958.0,6800,1.4162531479760074,-31.99883,115.90544,515000,1 Canny Road,"06-2019"
77,4,2,4.0,1012,251,2005.0,10500,1.5188824776156191,-31.90763,115.9573,1100000,1 Carnegie Road,"11-2018"
78,4,3,2.0,590,261,2005.0,8500,0.645276942986222,-32.02499618,115.8306028,1265000,1 Carroll Street,"02-2018"
79,4,3,2.0,4225,236,2003.0,28600,3.89817720262778,-32.14722691,116.0560529,750000,1 Cartland Court,"08-2019"
80,4,2,4.0,446,147,2008.0,22700,2.094911833401787,-32.15555254,115.8466171,472500,1 Caterpillar Road,"07-2018"
81,4,2,,532,185,,12300,1.136160904867254,-31.84873764,115.9045034,392500,1 Caxton Lane,"01-2019"
82,4,2,2.0,454,263,,14700,0.8310189988790908,-31.8934,115.998,900000,1 Centaur Circle,"12-2008"
83,5,2,2.0,642,153,1994.0,35000,1.2145051752706348,-32.26303,115.80407,380000,1 Cessford Close,"04-2015"
84,3,2,2.0,449,179,2001.0,6800,0.9884782102504912,-32.01232,115.87353,590000,1 Challenger Avenue,"04-2019"
85,4,2,2.0,727,179,1985.0,11300,0.8025022598534814,-32.05318,115.85013,835000,1 Chamberlain Circle,"11-2018"
86,4,2,2.0,432,155,2015.0,43700,5.284579807507599,-31.59475775,115.6689691,495000,1 Charleston Road,"02-2016"
87,4,2,3.0,543,111,1994.0,11000,1.192517672021573,-31.88496,115.94411,390000,1 Chauvel Court,"06-2012"
88,3,1,2.0,806,119,1970.0,31900,1.1822571093570655,-32.23786,115.82736,280000,1 Chester Court,"03-2017"
89,3,1,2.0,953,140,1974.0,13300,0.944525280478782,-32.02907099,115.9661741,355000,1 Chiddington Street,"02-2017"
90,4,2,4.0,697,160,1987.0,20800,1.7420523808690005,-31.77422523,115.7911066,465000,1 Chipala Court,"01-2016"
91,3,2,2.0,402,135,,17200,1.5292995824649906,-32.10493,115.83043,372000,1 Citrus Loop,"01-2020"
92,4,2,2.0,1012,180,1994.0,16600,3.135863661389195,-31.91358,116.02843,685000,1 Claret Ash Court,"04-2015"
93,3,2,2.0,218,130,2006.0,10900,0.6670685196759771,-32.01255367,115.9493774,360000,1 Clarke Street,"03-2016"
94,4,2,2.0,550,185,2006.0,54600,2.2454085252134144,-32.43563932,115.7585468,320000,1 Clearwater Way,"06-2020"
95,3,2,2.0,289,122,2008.0,15100,0.866779697791059,-31.81702,115.84811,492000,1 Clifford Loop,"04-2016"
96,5,2,2.0,766,290,1990.0,15200,1.857116986460901,-31.84584,115.75809,974000,1 Cliverton Court,"02-2013"
97,4,2,5.0,1062,177,1988.0,17800,1.6458743464550831,-32.0541,116.0043,435000,1 Clovertree Street,"09-2017"
98,3,2,2.0,367,160,1995.0,6900,0.8258967333064485,-31.9669,115.78778,900000,1 Cobea Court,"06-2017"
99,3,1,3.0,698,110,1975.0,13900,0.6005024273524234,-31.8335,115.81362,405000,1 Cockman Road,"08-2018"
100,3,1,1.0,782,111,1978.0,12400,1.7721533441463786,-31.87535346,115.9536986,290000,1 Cohen Place,"12-2018"
101,2,2,1.0,635,201,1950.0,4600,0.8283557812219488,-31.92994,115.81815,1160000,1 Collier Street,"12-2019"
102,3,2,2.0,555,159,2004.0,36700,0.4784643150888098,-31.64758777,115.710316,415000,1 Colmworth Way,"11-2019"
103,4,2,1.0,758,125,1984.0,22100,0.2751352156882065,-31.76607,115.77891,525000,1 Colonial Mews,"10-2017"
104,4,2,3.0,578,229,2012.0,19500,0.7050115331321091,-32.11590661,115.9300609,629000,1 Conical Way,"09-2017"
105,4,2,2.0,510,217,2007.0,25200,3.089274715629556,-31.76277307,116.0041591,600000,1 Convallis Vista,"11-2020"
106,3,2,2.0,618,134,2005.0,16300,1.0966909467611414,-31.808107,115.82654,427000,1 Corbin Gate,"03-2020"
107,5,3,2.0,911,309,1995.0,26100,1.364734634329765,-31.74341,115.73399,1015000,1 Coronado Ridge,"02-2017"
108,4,2,2.0,747,210,1991.0,42500,1.1778358413079064,-32.32226,115.748,445000,1 Corvette Close,"11-2019"
109,4,2,3.0,1869,167,1985.0,29100,1.8512313396055864,-31.90413,116.16174,610000,1 Craigie Place,"12-2018"
110,4,2,2.0,803,173,1988.0,13300,1.093248837960484,-31.83561,115.88917,465000,1 Crest Grove,"08-2019"
111,4,2,2.0,545,160,1993.0,10800,0.4985020167053297,-31.88155,115.93723,454000,1 Creswick Cross,"09-2009"
112,3,2,1.0,514,131,2000.0,20200,2.3394162247710946,-31.8666182,116.0474837,380000,1 Criollo Place,"10-2014"
113,4,2,2.0,401,186,2005.0,25100,3.1255687265192087,-31.73266376,115.8005439,382000,1 Crivelli Parkway,"06-2020"
114,4,2,2.0,527,209,2001.0,7400,0.8250744707544544,-32.01888,115.86017,1150000,1 Crowley Vista,"01-2014"
115,2,1,2.0,1100,497,1958.0,9300,1.335488696225683,-32.035946,115.853523,2200000,1 Curruthers Road,"12-2018"
116,4,2,4.0,580,140,2006.0,42900,1.3622448756117536,-32.3275827,115.7565963,375000,1 Cypress Mews,"09-2018"
117,4,2,2.0,694,246,2010.0,32600,0.9236522735311185,-32.22239608,115.9921401,495000,1 Dagostino Road,"11-2020"
118,3,2,2.0,327,171,2008.0,15900,0.3082940723333923,-31.81004895,115.84418,445000,1 Dalkey Way,"09-2016"
119,4,2,1.0,450,150,2002.0,12600,1.0008772383254252,-32.05243282,115.7976803,515000,1 Danzil Street,"07-2019"
